,Total Words,Sections,Paragraphs,Words per Section,Words per Paragraph
count,37.0,37.0,37.0,37.0,37.0
mean,4728.756756756757,101.94594594594595,204.7027027027027,47.84006632720773,23.902058362829383
std,1241.4106985693827,31.00084761022757,64.84719854518897,10.160417001874123,4.181626811367649
min,2144.0,36.0,81.0,31.842105263157894,15.252100840336135
25%,4467.0,81.0,172.0,42.73529411764706,21.314685314685313
50%,4994.0,101.0,205.0,46.75,23.153508771929825
75%,5165.0,117.0,240.0,50.37719298245614,26.623711340206185
max,9292.0,197.0,388.0,83.69090909090909,33.35227272727273
