word,centrality,community
free,0.30857178562532955,Community 3
energy,0.25716287013637085,Community 3
principle,0.17469877297618477,Community 3
active,0.10299342817471972,Community 3
inference,0.13771973338907534,Community 3
fep,0.2636406549162261,Community 3
cognitive,0.15019515875499173,Community 4
science,0.04231190775977188,Community 6
provide,0.006348212784827738,Community 9
framework,0.0256283005120446,Community 1
understand,0.07052182173883172,Community 1
perception,0.0869178975415625,Community 1
learning,0.35183703368553365,Community 1
decision,0.09762992128535343,Community 1
making,0.10736634002226597,Community 1
biological,0.09676620293327377,Community 1
system,0.16077135640370813,Community 1
guide,1.2051656569856838e-05,Community 2
aim,1.8300923042181e-06,Community 2
academic,0.00048648007087168365,Community 2
background,7.387353179497945e-05,Community 2
high,0.0025629235523073304,Community 2
school,0.002510404261450756,Community 2
student,0.01396879155984416,Community 2
technology,0.006425268977112163,Community 6
stem,2.7068991131068677e-21,Community 17
field,2.7068991131068677e-21,Community 17
digital,0.022803159280571486,Community 1
tool,0.14669728466005935,Community 1
ai,0.20731365601221183,Community 1
education,0.031483716008674945,Community 1
source,0.0546913989089585,Community 1
highschoolstudentworldview,0.008305533820468239,Community 1
social,0.0013280127420712024,Community 4
medium,0.008745614653604182,Community 4
platform,0.05626558240036533,Community 4
advanced,0.0038825719794131383,Community 4
scientific,0.025568621007858547,Community 4
concept,0.10567744490050388,Community 4
like,0.3617842339554755,Community 4
methodological,2.7068991131068677e-21,Community 18
experience,2.7068991131068677e-21,Community 18
theory,0.058820141637707275,Community 4
practical,2.7068991131068677e-21,Community 19
application,2.7068991131068677e-21,Community 19
real,0.0298771054920624,Community 3
world,0.022051257141751466,Community 7
neural,0.08798786094207761,Community 1
network,0.06679206022251725,Community 1
predictive,0.0032261793797388294,Community 10
coding,0.0004899840965068549,Community 10
similar,0.0004899840965068549,Community 10
generative,0.060679994094391114,Community 1
models,0.04915180941202518,Community 1
model,0.07822115136109013,Community 7
brain,0.013410076410954012,Community 10
act,0.0004894743420907451,Community 8
confirm,0.0032234582790505477,Community 8
prediction,0.02073852640478991,Community 8
analogies,2.7068991131068677e-21,Community 20
metaphors,2.7068991131068677e-21,Community 20
