word,centrality,community
free,0.19547979448500946,Community 1
energy,0.28316633365983634,Community 1
principle,0.2744534709018787,Community 1
active,0.3358998887011264,Community 5
inference,0.4522291240222039,Community 5
comprehensive,0.11431293816885779,Community 5
overview,0.02007349686172632,Community 5
fep,0.24796196729552802,Community 6
provide,0.17867512210594233,Community 5
unified,0.039039635487916176,Community 5
framework,0.043644749653098884,Community 5
understand,0.030830239975315223,Community 7
adaptive,0.012906981958014666,Community 7
system,0.04267214925066477,Community 7
minimize,0.21485931115299722,Community 1
aim,0.037729327276638774,Community 1
variational,0.22235159967753323,Community 1
maintain,0.06362947956228715,Community 9
structural,0.011540952115401066,Community 9
functional,0.002091170981070837,Community 9
integrity,0.00036723097964995487,Community 9
concept,0.04354272127112606,Community 6
neuroscience,8.3764211791804e-06,Community 7
cognitive,4.770107538899314e-05,Community 7
science,0.000263268785064845,Community 7
artificial,0.0014515535110090727,Community 7
intelligence,0.0002548923638856646,Community 7
apply,0.04819436913708686,Community 1
implication,4.2114879265615685e-14,Community 10
creativity,7.294511064267542e-14,Community 10
innovation,4.2114879265615685e-14,Community 10
mental,2.4709080342391764e-18,Community 15
health,2.4709080342391764e-18,Community 15
academic,2.4709080342391764e-18,Community 16
background,2.4709080342391764e-18,Community 16
karl,2.4709080342391764e-18,Community 17
friston,2.4709080342391764e-18,Community 17
bayesian,0.10546691830568457,Community 4
predictive,0.10020135634967337,Community 3
coding,0.10023195156032783,Community 3
neural,0.01836006728224319,Community 3
network,0.004323111940350983,Community 3
experience,0.0062574135454322305,Community 3
computational,0.03130500327787523,Community 3
model,0.15002197230412592,Community 2
brain,0.11901917339208098,Community 1
function,0.02256120176173488,Community 3
statistical,2.4709080342391764e-18,Community 18
mechanic,2.4709080342391764e-18,Community 18
develop,0.009460009289089915,Community 3
cognition,0.026347373680715675,Community 2
tool,0.007011018608998637,Community 3
like,0.008614678121350718,Community 3
spm,0.0015128052190283119,Community 3
structured,2.4709080342391764e-18,Community 19
approach,2.4709080342391764e-18,Community 19
practical,7.294511064267542e-14,Community 11
example,4.2114879265615685e-14,Community 11
help,2.4709080342391764e-18,Community 20
bridge,2.4709080342391764e-18,Community 20
probability,0.02275432739549141,Community 4
theory,0.05638116655605458,Community 4
information,0.02935480552296166,Community 4
differential,0.010215738630219833,Community 4
geometry,0.0017939156097018202,Community 4
proficiency,0.005498213389970325,Community 3
advance,2.4709080342391764e-18,Community 21
understanding,2.4709080342391764e-18,Community 21
ai,0.007493216987452416,Community 7
therapeutic,2.4709080342391764e-18,Community 22
intervention,2.4709080342391764e-18,Community 22
enhance,2.4709080342391764e-18,Community 23
capability,2.4709080342391764e-18,Community 23
prediction,0.0685070624807485,Community 1
sensory,0.005318745379761637,Community 4
hypothesis,0.02089976680094577,Community 1
update,0.1213817876434424,Community 2
internal,0.06763700276684857,Community 2
base,0.037153334989174336,Community 4
new,0.010202867270489562,Community 4
processing,0.018155314403016973,Community 3
hierarchical,0.01551165146797452,Community 6
structure,0.002724131251563131,Community 6
encode,2.4709080342391764e-18,Community 24
abstract,2.4709080342391764e-18,Community 24
increasingly,0.012151810371708939,Community 2
complex,0.06919321980394179,Community 2
world,0.03822598519693748,Community 2
align,0.06989009495184173,Community 6
emphasis,0.04626685252268919,Community 6
generative,0.039336963110208185,Community 6
markov,2.4709080342391764e-18,Community 25
blanket,2.4709080342391764e-18,Community 25
state,0.011725646171262647,Community 2
environment,0.014211302956147153,Community 2
social,1.2315848580596894e-15,Community 12
norm,8.708620047406781e-16,Community 12
organism,0.011878611516221799,Community 2
approximate,0.012151810371708939,Community 2
distribution,0.00399605109538658,Community 4
approximation,0.04240806351402267,Community 1
learn,0.019151429631734076,Community 1
machine,0.05308723379602728,Community 1
autoencoders,0.03904501752157143,Community 1
biological,0.0077481093513380814,Community 7
optimal,0.0018937379211550922,Community 4
control,0.01078411055672009,Community 4
motor,0.003136519258321919,Community 4
decision,1.2315848580596894e-15,Community 13
making,8.708620047406781e-16,Community 13
reinforcement,2.4709080342391764e-18,Community 26
learning,2.4709080342391764e-18,Community 26
minimization,0.08405042538421566,Community 1
connection,0.04354272127112606,Community 6
mathematical,0.00788946355553527,Community 6
formalization,0.04492812039611012,Community 6
involve,0.04492812039611012,Community 6
surprise,0.040533060021902864,Community 3
entropy,0.007351514707007192,Community 3
kl,0.0013320007083175399,Community 3
