word,centrality,community
free,0.12149860664972907,Community 3
energy,0.17500726437446312,Community 2
principle,0.21340954572483797,Community 2
active,0.3403936688596924,Community 2
inference,0.46547616781558093,Community 2
comprehensive,0.08681863575758192,Community 2
fep,0.15623995145237224,Community 2
provide,0.13172296488496008,Community 5
framework,0.06889479473632171,Community 7
understand,0.022319785877159326,Community 7
perception,0.050760573140671714,Community 7
learning,0.07366552397984714,Community 7
decision,0.04030759567612413,Community 7
making,0.022759509395754506,Community 7
biological,0.0035642106958026394,Community 5
system,0.019109413789859055,Community 5
section,0.028132853862595113,Community 5
minimize,0.05677230260484934,Community 3
variational,0.07229225433326429,Community 3
like,0.0005240193205217407,Community 8
surprise,0.00010142769117825031,Community 8
entropy,1.963332951544122e-05,Community 8
kl,3.796062129348498e-06,Community 8
example,0.14371903944333023,Community 4
applications,0.04477412089802764,Community 4
1,0.08204530736414892,Community 4
energy[1,0.03325375468983931,Community 3
predictive,0.09982292260845002,Community 2
processing,0.019315606040881516,Community 10
update,0.21713544955429906,Community 1
internal,0.13726331816205065,Community 1
model,0.3221961943049926,Community 1
world,0.08878449211335303,Community 1
exemplify,0.022663349378864595,Community 3
minimization[1,0.05530664327655363,Community 3
see,0.010590405310974715,Community 3
attempt,0.010590405310974715,Community 3
predation,1.2710105744341196e-18,Community 15
risk,1.2710105744341196e-18,Community 15
mathematical,1.2710105744341196e-18,Community 16
formalization,1.2710105744341196e-18,Community 16
mathematically,0.033820007916682944,Community 2
express,0.006308385713349279,Community 2
divergence,7.085239575986034e-07,Community 8
prediction,0.03494469120007941,Community 4
error,0.01836554606665559,Community 4
minimization,0.022663349378864595,Community 3
hierarchical,0.06351997415437821,Community 4
act,0.10569014274014743,Community 4
confirm,0.019712917053653134,Community 4
involve,0.05661985125538245,Community 1
predict,0.16389615750228487,Community 6
gather,0.005508228645068568,Community 3
information,0.028467375646417565,Community 3
reduce,0.020293112477083403,Community 3
uncertainty,0.008031405773521126,Community 7
foraging,6.52729595467822e-16,Community 12
animal,9.230990464728979e-16,Community 12
forage,6.52729595467822e-16,Community 12
2,0.0007489094864639058,Community 5
motor,0.00016125537532018263,Community 5
control,3.007720108803725e-05,Community 5
use,0.15030775850238026,Community 2
command,3.116129422248006e-05,Community 5
base,5.81219173478252e-06,Community 5
feedback,0.010590405310974715,Community 3
errors[1,0.006518133784205602,Community 4
3,0.04628917866944329,Community 1
social,0.00894469865862266,Community 1
interaction,0.0016682915851433371,Community 1
predator,1.2710105744341196e-18,Community 17
prey,1.2710105744341196e-18,Community 17
strategy,0.010590405310974715,Community 3
development,0.00013469589336765654,Community 10
child,0.0007221861536451588,Community 10
machine,0.018679681727293833,Community 7
neural,0.0418717726583686,Community 4
networks,0.007809987718467959,Community 4
network,0.007809987718467959,Community 4
coding,0.1754876324836353,Community 2
brain,0.03517870153656807,Community 2
robotic,0.003703892768911434,Community 5
incorporate,0.06705333344060098,Community 5
demonstrate,0.04179235995495998,Community 6
adaptive,0.0106540765704585,Community 6
robust,0.01326872555556583,Community 6
behavior,0.0020588548678166217,Community 6
complex,0.06048413984572448,Community 6
change,0.0003840263467818269,Community 6
environments[1][3,0.011281501796610994,Community 6
generative,0.23923566097060325,Community 1
models,0.04955872077398364,Community 1
ai,0.02647017972145713,Community 7
representation,0.025601491586465793,Community 1
visual,0.13583220403694557,Community 6
cortex,0.025335867431221373,Community 6
scene,0.026249149657485208,Community 6
